"filename", "language", "JSON", "YAML", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "XML", "pip requirements", "Python", "HTML", "Batch", "MS SQL", "TypeScript JSX", "Shell Script", "CSS", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pricing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 6, 15, 207
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\production\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 2, 27, 238
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\production\batches\[batchId]\costing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 6, 32, 330
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\production\batches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 3, 23, 194
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\production\daily-log\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 3, 24, 247
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\production\handover\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328, 0, 0, 0, 0, 0, 11, 37, 376
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\production\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 572, 0, 0, 0, 0, 0, 12, 61, 645
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 364, 0, 0, 0, 0, 0, 10, 47, 421
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\promises\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 914, 0, 0, 0, 0, 0, 35, 82, 1031
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchase\[poId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 393, 0, 0, 0, 0, 0, 9, 32, 434
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchase\grn\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 0, 1, 20, 315
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchase\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 11, 37
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchase\manual\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 5, 28, 232
